yearBuilt,url,longitude,homeStatus,real estate provider,paymentPeriod,isListed,relaxed,postal_code,title,address,facts and features,currency,commute,price,latitude,city,homeType,state,bedrooms,bathrooms,area
-1,https://www.zillow.com/homedetails/Pond-View-Rd-Winhall-VT-05340/2081307255_zpid/,-72.88754,FOR_RENT,,,,False,05340,Apartment for rent,"Pond View Rd, Winhall, VT 05340","4 bds, 4.0 ba ,2600 sqft",USD,,"$4,000/mo",43.13764,Winhall,APARTMENT,VT,4,4.0,2600
1970,https://www.zillow.com/homedetails/17-Stratton-West-Rd-Winhall-VT-05340/2081745879_zpid/,-72.89681,FOR_RENT,,,,False,05340,Condo for rent,"17 Stratton West Rd, Winhall, VT 05340","3 bds, 2.0 ba ,1100 sqft",USD,,"$8,500/mo",43.135276,Winhall,CONDO,VT,3,2.0,1100
1988,https://www.zillow.com/homedetails/F6-Cobble-Ridge-Rd-Winhall-VT-05340/2082917904_zpid/,-72.863105,FOR_RENT,,,,False,05340,Condo for rent,"F6 Cobble Ridge Rd, Winhall, VT 05340","3 bds, 3.0 ba ,2420 sqft",USD,,"$27,000/mo",43.181144,Winhall,CONDO,VT,3,3.0,2420
1980,https://www.zillow.com/homedetails/12-Sap-Bucket-Rd-Winhall-VT-05340/2093945784_zpid/,-72.9151,FOR_RENT,,,,False,05340,House for rent,"12 Sap Bucket Rd, Winhall, VT 05340","4 bds, 3.0 ba ,1950 sqft",USD,,"$23,000/mo",43.1598,Winhall,SINGLE_FAMILY,VT,4,3.0,1950
,https://www.zillow.com/b/84-romaine-ave-jersey-city-nj-974GpM/,-74.068917,,,,,False,,For Rent,"84 Romaine Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.732659,,,,,,
-1,https://www.zillow.com/homedetails/237-Liberty-Ave-2R-Jersey-City-NJ-07306/2080927507_zpid/,-74.060498,FOR_RENT,,,,False,07306,Apartment for rent,"237 Liberty Ave # 2R, Jersey City, NJ 07306","2 bds, 1.0 ba ,None sqft",USD,,"$1,795/mo",40.744749,Jersey City,APARTMENT,NJ,2,1.0,
-1,https://www.zillow.com/homedetails/545-Newark-Ave-APT-4-Jersey-City-NJ-07306/2080932160_zpid/,-74.056415,FOR_RENT,,,,False,07306,Apartment for rent,"545 Newark Ave APT 4, Jersey City, NJ 07306","1 bds, 1.0 ba ,800 sqft",USD,,"$1,400/mo",40.730923,Jersey City,APARTMENT,NJ,1,1.0,800
,https://www.zillow.com/b/3-journal-square-jersey-city-nj-BMQKwn/,-74.0661,,,,,False,,3 Journal Square,"2935 John Fitzgerald Kennedy Blvd, Jersey City, NJ"," bds,  ba , sqft",,,,40.7344,,,,,,
,"https://www.zillow.com/b/205-Palisade-Ave-Jersey-City-NJ/40.736086,-74.04976_ll/",-74.04976,,,,,False,,For Rent,"205 Palisade Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.736086,,,,,,
,https://www.zillow.com/b/9-garrison-ave-jersey-city-nj-5XrS7L/,-74.070505,,,,,False,,For Rent,"9 Garrison Ave, Jersey City, NJ"," bds,  ba , sqft",,,,40.729434,,,,,,
