"homeStatus","price","homeType","bedrooms","bathrooms","area"
"FOR_RENT",4000,"APARTMENT",4,4,2600
"FOR_RENT",8500,"CONDO",3,2,1100
"FOR_RENT",27000,"CONDO",3,3,2420
"FOR_RENT",23000,"SINGLE_FAMILY",4,3,1950
"FOR_RENT",1400,"APARTMENT",1,1,800
"FOR_RENT",620,"APARTMENT",3,1,1250
"FOR_RENT",2205,"APARTMENT",1,1,658
"FOR_RENT",1475,"APARTMENT",1,1,600
"FOR_RENT",1750,"APARTMENT",2,1,600
"FOR_RENT",1795,"APARTMENT",2,1,773
"FOR_RENT",1516,"APARTMENT",0,1,500
"FOR_RENT",2000,"APARTMENT",2,1,3900
"FOR_RENT",1699,"APARTMENT",1,1,600
"FOR_RENT",2695,"APARTMENT",4,1,2218
"FOR_RENT",1050,"APARTMENT",1,1,750
"FOR_RENT",1650,"APARTMENT",2,1,1000
"FOR_RENT",1400,"APARTMENT",1,1,528
"FOR_RENT",3300,"CONDO",2,2,1281
"FOR_RENT",2895,"APARTMENT",2,2,958
"FOR_RENT",1400,"SINGLE_FAMILY",3,2,1292
"FOR_RENT",950,"SINGLE_FAMILY",3,2,1786
"FOR_RENT",1400,"SINGLE_FAMILY",2,2.5,1275
"FOR_RENT",3295,"SINGLE_FAMILY",4,3,3500
"FOR_RENT",2900,"SINGLE_FAMILY",4,3,2385
"FOR_RENT",3000,"SINGLE_FAMILY",3,3,1696
"FOR_RENT",825,"APARTMENT",2,1,924
"FOR_RENT",1100,"APARTMENT",2,1,1200
"FOR_RENT",1395,"TOWNHOUSE",2,1,950
"FOR_RENT",3250,"SINGLE_FAMILY",4,4,2737
"FOR_RENT",1609,"APARTMENT",2,2,1212
"FOR_RENT",3350,"CONDO",1,1,700
"FOR_RENT",2250,"SINGLE_FAMILY",5,4.5,3200
"FOR_RENT",2650,"APARTMENT",3,1,1375
"FOR_RENT",1795,"CONDO",1,1,885
"FOR_RENT",1600,"SINGLE_FAMILY",3,2,1344
"FOR_RENT",975,"SINGLE_FAMILY",3,2,1846
"FOR_RENT",1250,"SINGLE_FAMILY",0,1,550
"FOR_RENT",2500,"MULTI_FAMILY",1,1,500
"FOR_RENT",5900,"MULTI_FAMILY",1,1,893
"FOR_RENT",2380,"MULTI_FAMILY",1,1,600
"FOR_RENT",4650,"MULTI_FAMILY",1,1,679
"FOR_RENT",6495,"MULTI_FAMILY",1,1,1009
"FOR_RENT",6869,"MULTI_FAMILY",2,2,1800
"FOR_RENT",2650,"MULTI_FAMILY",1,1,600
"FOR_RENT",2435,"MULTI_FAMILY",1,1,800
"FOR_RENT",3700,"MULTI_FAMILY",1,1,800
"FOR_RENT",4299,"MULTI_FAMILY",3,1,800
"FOR_RENT",2850,"MULTI_FAMILY",2,1,789
"FOR_RENT",2250,"MULTI_FAMILY",0,1,450
"FOR_RENT",6395,"MULTI_FAMILY",2,2,900
"FOR_RENT",2650,"MULTI_FAMILY",1,1,600
"FOR_RENT",2435,"MULTI_FAMILY",1,1,800
"FOR_RENT",3700,"MULTI_FAMILY",1,1,800
"FOR_RENT",4299,"MULTI_FAMILY",3,1,800
"FOR_RENT",2850,"MULTI_FAMILY",2,1,789
"FOR_RENT",2250,"MULTI_FAMILY",0,1,450
"FOR_RENT",6395,"MULTI_FAMILY",2,2,900
"FOR_RENT",4500,"MULTI_FAMILY",1,1,700
"FOR_RENT",2782,"MULTI_FAMILY",2,1,550
"FOR_RENT",2650,"MULTI_FAMILY",1,1,600
